,ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,PARTICIPANTES,VICTIMA,ACUSADO
102,20160132,1,2016-10-10,2016,10,10,2,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,3,AUTO-PASAJEROS,AUTO,PASAJEROS
103,20160133,1,2016-10-14,2016,10,14,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,14,MOTO-AUTO,MOTO,AUTO
104,20160134,1,2016-10-23,2016,10,23,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
105,20160135,1,2016-10-24,2016,10,24,5,AV FIGUEROA ALCORTA  Y PINEDO,AVENIDA,14,PEATON-SD,PEATON,SD
106,20160136,1,2016-10-25,2016,10,25,0,AU BUENOS AIRES - LA PLATA KM. 4,AUTOPISTA,4,MOTO-CARGAS,MOTO,CARGAS
107,20160137,1,2016-10-25,2016,10,25,0,AV SAN MARTIN Y LADINES,AVENIDA,11,MOTO-MOTO,MOTO,MOTO
108,20160138,1,2016-10-27,2016,10,27,20,AV CABILDO Y BLANCO ENCALADA,AVENIDA,13,BICICLETA-CARGAS,BICICLETA,CARGAS
109,20160139,1,2016-10-28,2016,10,28,23,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,AVENIDA,14,MOTO-MOTO,MOTO,MOTO
110,20160140,1,2016-10-31,2016,10,31,2,AV JURAMENTO Y VUELTA DE OBLIGADO,AVENIDA,13,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
111,20160142,1,2016-11-05,2016,11,5,23,AV DEL LIBERTADOR Y AV RAMOS MEJIA,AVENIDA,1,MOTO-PASAJEROS,MOTO,PASAJEROS
112,20160143,1,2016-11-06,2016,11,6,4,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,MOTO-SD,MOTO,SD
113,20160144,1,2016-11-07,2016,11,7,12,AV. ALTE. BROWN 984,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
114,20160145,1,2016-11-07,2016,11,7,20,AV DEL LIBERTADOR Y LA PAMPA,AVENIDA,13,MOTO-AUTO,MOTO,AUTO
115,20160146,1,2016-11-09,2016,11,9,20,PICHINCHA Y AV BRASIL,AVENIDA,4,PEATON-PASAJEROS,PEATON,PASAJEROS
116,20160147,1,2016-11-16,2016,11,16,21,AV INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,MOVIL-PASAJEROS,MOVIL,PASAJEROS
117,20160148,1,2016-11-16,2016,11,16,22,AV GARMENDIA 4895,AVENIDA,15,MOTO-MOTO,MOTO,MOTO
118,20160150,1,2016-11-18,2016,11,18,18,AV AMANCIO ALCORTA Y DIOGENES TABORDA,AVENIDA,4,CARGAS-CARGAS,CARGAS,CARGAS
119,20160151,1,2016-11-18,2016,11,18,20,SD,CALLE,0,PEATON-SD,PEATON,SD
120,20160152,1,2016-11-23,2016,11,23,21,AV PERITO MORENO Y ZUVIRIA,AVENIDA,7,MOTO-AUTO,MOTO,AUTO
