,Dirección,Longitud,Latitud,Cantidad de accidentes
652,LA PLATA AV. 2723,-58.42003882,-34.64645957,1
653,"ALBERDI, JUAN BAUTISTA AV. 2906",-58.46851293,-34.63348678,1
654,"PAZ, GRAL. AV. y TONELERO",-58.52931141,-34.65422917,1
655,SAN JUAN AV. y LA PLATA AV.,-58.42675754,-34.62699730,1
656,"LOPE DE VEGA AV. y PAZ, GRAL. AV.",-58.52933723,-34.61098186,1
657,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,-58.37910943,-34.62764718,2
658,"BEIRO, FRANCISCO AV. 5071",-58.52161176,-34.61164474,1
659,SANTA FE AV. 3428,-58.41354692,-34.58697680,1
660,"CHILAVERT, MARTINIANO, CORONEL y VARELA AV.",-58.43960781,-34.65470804,1
661,SAN LUIS 2730,-58.40454610,-34.60003693,1
662,CALLAO AV. y PARAGUAY,-58.39303911,-34.59871111,1
663,"DEL LIBERTADOR AV. y AGOTE, LUIS DR.",-58.39391034,-34.58405348,1
664,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",-58.50073810,-34.54979510,4
665,SALTA y BRASIL,-58.38281301,-34.62786038,1
666,"MORENO, PERITO AV. 2152",-58.43980799,-34.65094083,1
667,DIRECTORIO AV. 1169,-58.44402387,-34.62933109,1
668,INDEPENDENCIA AV. y LA PLATA AV.,-58.42779702,-34.62207347,1
669,TUCUMAN 3112,-58.40944147,-34.60097942,1
670,ARENALES y 9 DE JULIO AV.,-58.38277479,-34.59430160,1
671,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRANDSEN,-58.37627355,-34.63800916,1
672,AUTOPISTA 25 DE MAYO y PASCO,-58.39591856,-34.62453459,1
673,CABILDO AV. y OLAZABAL,-58.45829717,-34.56015762,1
674,TAPALQUE y BRUIX AV.,-58.49142611,-34.64584795,1
675,"PAZ, GRAL. AV. y EZEIZA",-58.51271409,-34.57786555,1
676,RIVADAVIA AV. y PUAN,-58.44864864,-34.62352826,1
677,ESMERALDA 1359,-58.37795815,-34.59167894,1
678,MONROE y 3 DE FEBRERO,-58.45531707,-34.55555257,1
679,GAONA AV. 3655,-58.47633683,-34.62140594,1
680,9 DE JULIO AV. y LAVALLE,-58.38188582,-34.60256036,1
681,"BAIGORRIA y HUGO, VICTOR",-58.51989389,-34.62284918,1
682,RIVADAVIA AV. y PUEYRREDON AV.,-58.40596860,-34.61011987,1
683,RIESTRA AV. y MOM,-58.43353773,-34.64561636,1
684,"DELLEPIANE, LUIS, TTE. GRAL. y LACARRA AV.",-58.46739825,-34.65117757,1
685,GAONA AV. y TERRADA,-58.47293407,-34.61984745,1
686,"PERON, EVA AV. 4071",-58.47066794,-34.65021673,1
687,PADRE CARLOS MUGICA 709,-58.37976155,-34.58679619,1
