,Dirección,Longitud,Latitud,Cantidad de accidentes
102,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,-58.40204698,-34.58342690,1
103,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,-58.48935287,-34.67648597,1
104,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",-58.42260225,-34.56403694,1
105,SAN MARTIN AV. y LADINES,-58.51537091,-34.59035925,1
106,CABILDO AV. y BLANCO ENCALADA,-58.45909670,-34.55922742,1
107,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",-58.42008769,-34.56539579,1
108,JURAMENTO AV. y VUELTA DE OBLIGADO,-58.45566399,-34.56147293,1
109,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",-58.37533517,-34.59276462,3
110,27 DE FEBRERO AV. y ESCALADA AV.,-58.44451316,-34.68475866,5
111,"BROWN, ALTE. AV. 984",-58.35975012,-34.63343907,1
112,DEL LIBERTADOR AV. y LA PAMPA,-58.44523595,-34.55953855,1
113,PICHINCHA AV. y BRASIL,-58.39626094,-34.63036565,2
114,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",-58.38896772,-34.61799615,3
115,GARMENDIA AV. 4895,-58.46536113,-34.59484504,1
116,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",-58.40879146,-34.65273216,1
117,"MORENO, PERITO AV. y ZUVIRIA",-58.46451841,-34.64991946,1
118,ARAOZ y CORDOBA AV.,-58.42917090,-34.59485488,1
119,"PAZ, GRAL. AV. 15200",-58.49007772,-34.68251141,1
120,MADERO 900,-58.52756365,-34.62772274,1
121,INDEPENDENCIA AV. y DEAN FUNES,-58.40638983,-34.61943202,1
122,"JUSTO, JUAN B. AV. 5645",-58.47576807,-34.61740997,1
123,27 DE FEBRERO AV. y ESCALADA AV.,-58.44451316,-34.68475866,5
124,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),-58.51927194,-34.63635787,1
125,SANTA FE AV. y GODOY CRUZ,-58.42525456,-34.57866344,2
126,"LACROZE, FEDERICO AV. y FOREST AV.",-58.45396573,-34.58518167,1
127,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",-58.52340614,-34.59798754,2
128,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",-58.42323628,-34.64119105,2
129,"GARCIA, MARTIN AV. 300",-58.36926144,-34.62841919,1
130,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",-58.42323628,-34.64119105,2
131,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",-58.47935434,-34.55676497,1
132,"PAZ, GRAL. AV. 4500",-58.50598256,-34.56379980,1
133,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",-58.36607137,-34.62150748,1
134,"GARAY, JUAN DE AV. y CASTRO",-58.41918902,-34.63174259,1
135,DIRECTORIO AV. y SAN PEDRITO AV.,-58.46749188,-34.63551751,1
136,AUTOPISTA 25 DE MAYO,.,.,1
137,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",-58.46064174,-34.62960517,1
138,BELGRANO AV. y PASEO COLON AV.,-58.36956186,-34.61232875,1
139,ARENALES 3319,-58.40966671,-34.58788235,1
140,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,-58.40288226,-34.61544091,1
141,"JUSTO, JUAN B. AV. y ACHUPALLAS",-58.46594230,-34.61028571,1
142,OLAVARRIA y VELEZ SARSFIELD AV.,-58.38957669,-34.64410277,1
143,LIMA y MEXICO,-58.38161660,-34.61529543,1
144,"CABRERA, JOSE A. y BONPLAND",-58.43917004,-34.58494351,1
145,AUTOPISTA 25 DE MAYO y BOEDO AV.,-58.41595919,-34.62743346,2
146,DIRECTORIO AV. y RIGLOS,-58.43564880,-34.62828656,1
147,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",-58.50073810,-34.54979510,4
148,"TRAFUL y TABORDA, DIOGENES",-58.40969005,-34.65055290,1
149,"IRIARTE, GRAL. AV. 3055",-58.38972622,-34.65098981,1
150,DONADO y ARIAS,-58.49185972,-34.55046754,1
151,CORDOBA AV. y CALLAO AV.,-58.39293417,-34.59963642,1
152,AUTOPISTA 25 DE MAYO KM. 8.3,-58.38099494,-34.62288231,1
153,"JUSTO, JUAN B. AV. y PARAGUAY",-58.42901200,-34.58095431,1
154,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",-58.50877521,-34.66977709,3
155,SARMIENTO y LIBERTAD,-58.38362373,-34.60509972,1
156,RIVADAVIA AV. 7121,-58.46589308,-34.62955795,1
157,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",-58.43614426,-34.65424640,1
158,"MORENO, PERITO AV. y FOURNIER",-58.41842777,-34.64979057,1
159,CASEROS AV. 1429,-58.38332245,-34.63193250,1
160,GAONA AV. y FRAGATA PRES. SARMIENTO,-58.45475488,-34.61196327,1
161,MOZART y TANDIL,-58.48501341,-34.64742455,1
162,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,-58.47010988,-34.65872088,1
163,24 DE NOVIEMBRE y PAVON,-58.40997560,-34.62873635,1
164,"PAZ, GRAL. AV. y LOS CEDROS",-58.48892175,-34.68359163,1
165,"PAZ, GRAL. AV. y GUTIERREZ, RICARDO",-58.52466448,-34.60325478,1
166,GODOY CRUZ 2651,-58.42554218,-34.57929036,1
167,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",-58.35881506,-34.61113641,1
168,"PAZ, GRAL. AV. y CAMPANA",-58.51452347,-34.58159762,1
169,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",-58.38896772,-34.61799615,3
170,CASTAÃ‘ARES AV. y LAUTARO,-58.44516857,-34.64363363,1
171,"GUIRALDES, INT. 2699",-58.43834197,-34.54560369,1
172,"FERNANDEZ MORENO, BALDOMERO 2186",-58.45485084,-34.63531854,1
173,"LUGONES, LEOPOLDO AV.",.,.,1
174,NOGOYA 5940,-58.52449285,-34.62454175,1
175,ARGENTINA AV. y CORVALAN,-58.46713742,-34.67198790,1
176,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",-58.43850413,-34.65554754,2
177,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",-58.49413799,-34.68095739,1
178,VIEYTES y VILLARINO,-58.37547846,-34.65326075,1
179,"DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",-58.48680218,-34.58689719,1
180,DE LOS CONSTITUYENTES AV. 4900,-58.49563989,-34.57962262,1
181,CORDOBA AV. y LIBERTAD,-58.38403232,-34.59915940,1
182,BRASIL y LIMA,-58.38223382,-34.62693865,1
183,"ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",-58.45966521,-34.67323292,1
184,PARAGUAY y CALLAO AV.,-58.39303911,-34.59871111,1
185,"JUSTO, JUAN B. AV. y SAN BLAS",-58.51262106,-34.63395999,1
186,CHILE y 9 DE JULIO AV.,-58.38118367,-34.61646839,1
187,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",-58.37653284,-34.60582475,1
188,SUAREZ AV. y HERRERA,-58.37709334,-34.64035082,1
189,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,-58.46002142,-34.60409469,1
190,"DIRECTORIO AV. y MORENO, JOSE MARIA AV.",-58.43381970,-34.62801894,1
191,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",-58.43580656,-34.66437532,1
192,"PAZ, GRAL. AV. y SCHMIDL, ULRICO",-58.52173071,-34.65997463,1
193,NUEVA YORK 3696,-58.50791763,-34.59804273,1
194,DE LOS CONSTITUYENTES AV. y VALLEJOS,-58.49175088,-34.58226957,1
195,CORRIENTES AV. y ECUADOR,-58.40781467,-34.60425669,1
196,CASCO 133,-58.52567073,-34.63787791,1
197,DE MAYO AV. y 9 DE JULIO AV.,-58.38154200,-34.60906385,1
198,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",-58.38526125,-34.57805810,3
199,FRAY JUSTO SANTAMARIA DE ORO 1930,-58.42934104,-34.58451712,1
200,MEXICO y DEAN FUNES,-58.40657493,-34.61781124,1
201,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",-58.49525314,-34.64487785,1
202,ENTRE RIOS AV. y BRASIL,-58.39092851,-34.62932696,1
203,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",-58.49603546,-34.64564271,2
204,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,-58.38502878,-34.58703485,1
205,"TACUARI y GARCIA, MARTIN AV.",-58.37261143,-34.63150425,1
206,RIVADAVIA AV. y MURGUIONDO,-58.51876802,-34.63905965,1
207,24 DE NOVIEMBRE 390,-58.41095567,-34.61516101,1
208,PASEO COLON AV. y BRASIL AV.,-58.36797542,-34.62519403,1
209,"LEGUIZAMON, MARTINIANO 901",-58.51514709,-34.64787051,1
210,"CHIVILCOY AV. y PAZ, GRAL. AV.",-58.51925642,-34.59171721,1
211,"SUPERI y PAZ, GRAL. AV.",-58.48671535,-34.54321216,1
212,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,-58.38268809,-34.62282019,2
213,"LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",-58.43633522,-34.54966288,1
214,"HUGO, VICTOR 2639",-58.52640838,-34.61765855,1
215,"CORDOBA AV. y SALGUERO, JERONIMO",-58.41894306,-34.59778875,1
216,CABILDO AV. y NUÃ‘EZ,-58.46756026,-34.54972741,1
217,"BONIFACIO, JOSE 2114",-58.45715752,-34.63132912,1
218,"FIGUEROA ALCORTA, PRES. AV. 5400",-58.42406784,-34.56213916,1
219,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,-58.39674470,-34.61512051,1
220,"LACROZE, FEDERICO AV. y ZAPATA",-58.44537508,-34.57084818,1
221,"IRIARTE, GRAL. AV. y ZAVALETA",-58.40056767,-34.65107080,1
222,9 DE JULIO AV. y ESTADOS UNIDOS,-58.38109568,-34.61853244,1
223,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,-58.42533612,-34.58035258,1
224,DEL LIBERTADOR AV. y JARAMILLO,-58.46062311,-34.54395182,1
225,"PAZ, GRAL. AV. y MACHAIN",-58.49491054,-34.54795581,1
226,DIRECTORIO AV. y PORTELA,-58.47130269,-34.63665402,1
227,"LAVALLE y ALEM, LEANDRO N. AV.",-58.37048800,-34.60189492,2
228,USPALLATA y PIROVANO,-58.42023854,-34.64234110,1
229,AUTOPISTA 25 DE MAYO y VARELA AV.,-58.45807401,-34.63997430,1
230,SANTA FE AV. y MAIPU,-58.37697717,-34.59573848,1
231,ALVEAR AV. y DEL LIBERTADOR AV.,-58.39100580,-34.58498660,1
232,PAVON AV. y TREINTA Y TRES ORIENTALES,-58.42182126,-34.63089661,1
233,"PAZ, GRAL. AV. 5750",-58.51389422,-34.58075791,1
234,"VIEYTES y CRUZ, OSVALDO AV.",-58.37585415,-34.65232158,1
235,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,-58.47297505,-34.66245085,2
236,ALBARIÃ‘O y ARGENTINA AV.,-58.46855503,-34.67216349,1
237,"RAMIREZ DE VELASCO, JUAN 1211",-58.44254033,-34.59185043,1
238,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",-58.46622247,-34.67926929,1
239,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,-58.48003734,-34.68148508,1
240,GALLO y CORDOBA AV.,-58.41192137,-34.59800248,1
241,"ARANGUREN, JUAN F., DR. 611",-58.44034689,-34.61349731,1
242,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,-58.47155277,-34.64925746,1
243,CHORROARIN y SAN MARTIN AV.,-58.47883099,-34.59967065,1
244,"COSQUIN y ROCA, CNEL. AV.",-58.46552171,-34.69374130,1
245,"ROCA, CNEL. AV. 3555",-58.44239720,-34.66777987,1
246,WARNES AV. y PUNTA ARENAS,-58.47032551,-34.59626814,1
247,"BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",-58.41827843,-34.65522746,1
248,MOSCONI GENERAL AV. y SAN NICOLAS,-58.51280715,-34.59279388,1
249,"LAFUENTE AV. y PERON, EVA AV.",-58.46258582,-34.64385704,1
250,"ROCA, CNEL. AV. y ESCALADA AV.",-58.45064148,-34.68003614,1
251,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,.,.,2
252,"LA PLATA AV. y GOYENA, PEDRO AV.",-58.42717783,-34.62513374,1
253,"TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",-58.46442001,-34.60724519,1
254,"ROCA, CNEL. AV. y PAZ, GRAL. AV.",-58.47064556,-34.69843756,1
255,MAZA y DON BOSCO,-58.41677733,-34.61223119,1
256,"PAZ, GRAL. AV. y PERON, EVA AV.",-58.50251790,-34.67450313,2
257,SAN JUAN AV. y LA RIOJA,-58.40708125,-34.62438894,1
258,PASEO COLON AV. y MEXICO,-58.36947198,-34.61477051,1
259,RIVADAVIA AV. y MIRALLA,-58.51140889,-34.63934531,1
260,VIEYTES y LUJAN,-58.37460912,-34.65559133,1
261,CACHI y TRAFUL,-58.41146277,-34.65073916,1
262,ROSARIO y LA PLATA AV.,-58.42855267,-34.61829385,1
263,ENTRE RIOS AV. y CASEROS AV.,-58.39035581,-34.63412287,1
264,RIVADAVIA AV. 6350,-58.45593915,-34.62656868,1
265,"PAZ, GRAL. AV. y HUMAITA",-58.52866211,-34.64597065,1
266,"GUALEGUAYCHU y PAZ, GRAL. AV.",-58.52037476,-34.59407024,1
